loan_amnt,term,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,fico_range_low,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,acc_now_delinq,mort_acc,pub_rec_bankruptcies,default_flag,credit_age_years,lti,open_credit_ratio,pd_logit,credit_score_logit,risk_grade_logit,pd_xgb_test
20000.0,36,10.0,MORTGAGE,65000.0,debt_consolidation,13.68,0.0,705.0,2.0,11.0,0.0,0.649,25.0,0.0,3.0,0.0,0,16.082135523613964,0.3076923076923077,0.4399999824000007,0.41079708627995964,618.0335622277781,B,
7000.0,36,-1.0,OWN,35000.0,debt_consolidation,22.39,0.0,710.0,0.0,10.0,0.0,0.273,29.0,0.0,1.0,0.0,0,14.335386721423683,0.2,0.3448275743162905,0.3735125550518498,625.8588557771881,B,
20000.0,36,10.0,MORTGAGE,90000.0,debt_consolidation,29.14,1.0,665.0,0.0,22.0,0.0,0.6970000000000001,39.0,0.0,4.0,0.0,0,20.0,0.2222222222222222,0.5641025496383962,0.44109235472334607,611.8364985334458,C,0.5462726354598999
16000.0,36,5.0,OWN,50000.0,debt_consolidation,34.64,4.0,660.0,0.0,9.0,0.0,0.405,25.0,0.0,0.0,0.0,0,20.418891170431213,0.32,0.35999998560000057,0.629741370736312,573.4446273502798,E,
4000.0,36,2.0,MORTGAGE,85000.0,home_improvement,24.27,0.0,700.0,0.0,7.0,0.0,0.852,19.0,0.0,2.0,0.0,0,25.831622176591377,0.047058823529411764,0.36842103324099823,0.3468712456702663,631.6410311121753,B,
10950.0,36,10.0,MORTGAGE,38000.0,medical,19.68,0.0,690.0,0.0,11.0,0.0,0.545,25.0,0.0,2.0,0.0,0,24.58590006844627,0.2881578947368421,0.4399999824000007,0.37036705466577446,626.5321234804925,B,
10000.0,36,10.0,MORTGAGE,43000.0,debt_consolidation,15.02,0.0,745.0,0.0,8.0,0.0,0.49700000000000005,34.0,0.0,2.0,0.0,0,15.419575633127995,0.23255813953488372,0.23529411072664383,0.27472768803556474,648.538340264942,A,
6500.0,36,3.0,OWN,36000.0,debt_consolidation,6.8,0.0,680.0,0.0,6.0,1.0,0.708,26.0,0.0,0.0,0.0,0,20.249144421629023,0.18055555555555555,0.23076922189349144,0.35960421790671027,628.8541181384597,B,
7500.0,36,10.0,RENT,75000.0,debt_consolidation,22.53,0.0,665.0,2.0,12.0,0.0,0.41700000000000004,25.0,0.0,0.0,0.0,0,17.66735112936345,0.1,0.4799999808000007,0.5433138440921825,591.3154635846723,D,
4600.0,36,3.0,RENT,38000.0,debt_consolidation,36.39,3.0,670.0,3.0,6.0,0.0,0.442,28.0,0.0,0.0,0.0,0,15.586584531143053,0.12105263157894737,0.21428570663265334,0.735902973946955,548.7609138696121,E,0.6700567603111267
20050.0,36,10.0,MORTGAGE,100000.0,debt_consolidation,19.39,1.0,660.0,0.0,11.0,0.0,0.905,23.0,0.0,1.0,0.0,0,26.830937713894592,0.2005,0.4782608487712674,0.4170654246539297,616.74159281154,C,0.4603888988494873
30000.0,36,1.0,RENT,112000.0,other,11.19,1.0,675.0,2.0,11.0,0.0,0.155,29.0,0.0,2.0,0.0,0,15.16769336071184,0.26785714285714285,0.37931033174791956,0.537882943440765,592.4088634462125,D,0.598465621471405
2000.0,36,10.0,MORTGAGE,30000.0,other,8.72,0.0,665.0,4.0,7.0,2.0,0.71,16.0,0.0,4.0,1.0,1,34.168377823408626,0.06666666666666667,0.4374999726562517,0.5282065679234079,594.3526905780718,D,
16000.0,36,1.0,RENT,125000.0,debt_consolidation,17.19,3.0,660.0,1.0,19.0,0.0,0.602,41.0,0.0,0.0,0.0,1,12.752908966461328,0.128,0.4634146228435458,0.5628470986080129,587.3637507351433,D,0.5831140875816345
10000.0,36,5.0,RENT,80000.0,debt_consolidation,14.48,0.0,680.0,1.0,8.0,0.0,0.785,14.0,0.0,0.0,0.0,0,9.333333333333334,0.125,0.5714285306122479,0.49680244374661964,600.6395199690195,D,0.4435857832431793
13000.0,36,4.0,RENT,170000.0,credit_card,15.97,0.0,670.0,1.0,10.0,1.0,0.408,22.0,0.0,1.0,1.0,0,16.0,0.07647058823529412,0.4545454338842984,0.3691989228123835,626.7827488871206,B,
13625.0,36,10.0,MORTGAGE,110000.0,debt_consolidation,7.99,0.0,665.0,1.0,10.0,1.0,0.423,34.0,0.0,5.0,1.0,1,17.585215605749486,0.12386363636363637,0.2941176384083048,0.26339737265661933,651.4192378162768,A,
10500.0,36,1.0,RENT,46000.0,debt_consolidation,22.2,0.0,665.0,1.0,13.0,0.0,0.64,23.0,0.0,0.0,0.0,1,14.587268993839835,0.22826086956521738,0.5652173667296797,0.566695296963495,586.580970926496,D,0.6157322525978088
24700.0,36,3.0,MORTGAGE,65000.0,debt_consolidation,15.47,2.0,670.0,1.0,18.0,0.0,0.5660000000000001,36.0,0.0,3.0,0.0,1,22.50239561943874,0.38,0.4999999861111115,0.4573581827161102,608.5491306036666,C,
14000.0,36,10.0,MORTGAGE,60000.0,credit_card,11.1,0.0,675.0,0.0,11.0,0.0,0.65,17.0,0.0,1.0,0.0,0,17.333333333333332,0.23333333333333334,0.6470587854671302,0.3034749148297434,641.5402427237581,A,
35000.0,60,2.0,RENT,152000.0,other,11.06,0.0,695.0,4.0,24.0,0.0,0.375,56.0,0.0,5.0,0.0,0,28.418891170431213,0.23026315789473684,0.42857142091836753,0.7521582249239165,544.4921915763443,E,
21225.0,60,2.0,RENT,71200.0,debt_consolidation,18.74,0.0,680.0,0.0,10.0,1.0,0.557,30.0,0.0,7.0,1.0,0,23.419575633127995,0.29810393258426965,0.33333332222222256,0.6296991026555969,573.4536910374023,E,0.6800564527511597
15000.0,36,10.0,OWN,110000.0,debt_consolidation,12.77,0.0,670.0,0.0,9.0,0.0,0.943,22.0,0.0,2.0,0.0,0,20.082135523613964,0.13636363636363635,0.4090908904958686,0.35102273941952455,630.7273336212716,B,
35000.0,60,10.0,MORTGAGE,130000.0,credit_card,28.82,4.0,675.0,1.0,16.0,0.0,0.8,31.0,0.0,3.0,0.0,0,39.167693360711844,0.2692307692307692,0.5161290156087414,0.7472883355536749,545.7899035283192,E,
30000.0,60,10.0,MORTGAGE,85000.0,debt_consolidation,39.15,0.0,695.0,0.0,20.0,0.0,0.49,30.0,0.0,0.0,0.0,0,28.999315537303218,0.35294117647058826,0.6666666444444451,0.7578347584706198,542.9577472121915,E,
12000.0,60,10.0,RENT,60000.0,other,22.82,0.0,745.0,2.0,14.0,0.0,0.08,21.0,0.0,0.0,0.0,0,21.248459958932237,0.2,0.6666666349206364,0.768145829541468,540.1064500541141,E,
5600.0,36,-1.0,MORTGAGE,53000.0,home_improvement,24.06,0.0,690.0,2.0,19.0,1.0,0.355,56.0,0.0,1.0,1.0,1,21.585215605749486,0.10566037735849057,0.33928570822704096,0.4738448285898496,605.2358134829443,C,0.47320258617401123
6000.0,36,-1.0,OWN,86000.0,home_improvement,22.84,0.0,735.0,2.0,11.0,0.0,0.18899999999999997,30.0,0.0,3.0,0.0,1,16.082135523613964,0.06976744186046512,0.36666665444444485,0.3946289045878968,621.3947904790426,B,
20000.0,36,3.0,RENT,66000.0,major_purchase,34.51,1.0,685.0,1.0,4.0,0.0,0.904,11.0,0.0,0.0,0.0,1,4.7529089664613275,0.30303030303030304,0.3636363305785154,0.7014779705062497,557.2827117560757,E,0.7471451759338379
8000.0,36,10.0,OWN,33072.0,debt_consolidation,32.47,0.0,660.0,3.0,15.0,1.0,0.41100000000000003,21.0,0.0,0.0,1.0,0,14.669404517453799,0.24189646831156264,0.7142856802721105,0.6993233353542377,557.7961139900374,E,0.7517369389533997
16000.0,36,9.0,MORTGAGE,68640.0,debt_consolidation,15.82,0.0,670.0,0.0,13.0,0.0,0.733,32.0,0.0,0.0,0.0,0,24.16700889801506,0.2331002331002331,0.4062499873046879,0.3691282045367542,626.7979321834571,B,
5000.0,36,10.0,RENT,60000.0,debt_consolidation,18.94,0.0,660.0,3.0,13.0,1.0,0.27699999999999997,32.0,0.0,0.0,1.0,0,14.587268993839835,0.08333333333333333,0.4062499873046879,0.5904849573799082,581.7014737899151,D,
7500.0,36,1.0,RENT,45000.0,credit_card,4.38,0.0,710.0,0.0,6.0,0.0,0.409,6.0,0.0,0.0,0.0,0,9.752224503764545,0.16666666666666666,0.9999998333333611,0.3353064271793278,634.2140659987374,B,
35000.0,36,3.0,OWN,80000.0,debt_consolidation,17.01,0.0,670.0,0.0,17.0,2.0,0.384,28.0,0.0,0.0,0.0,0,22.420260095824776,0.4375,0.6071428354591845,0.5514451117398805,589.6744373762384,D,
7500.0,36,10.0,MORTGAGE,155546.0,major_purchase,16.36,0.0,710.0,3.0,22.0,0.0,0.496,42.0,0.0,2.0,0.0,0,25.50034223134839,0.0482172476309259,0.5238095113378688,0.34908143952010995,631.15396446165,B,
5000.0,36,10.0,MORTGAGE,43000.0,credit_card,14.32,0.0,670.0,0.0,3.0,0.0,0.9390000000000001,11.0,0.0,3.0,0.0,0,20.0,0.11627906976744186,0.2727272479338866,0.272683326699719,649.0525412696061,A,
20000.0,36,4.0,RENT,57000.0,credit_card,13.28,0.0,690.0,0.0,3.0,0.0,0.9640000000000001,5.0,0.0,0.0,0.0,0,15.501711156741958,0.3508771929824561,0.599999880000024,0.46142829347053516,607.7296991356847,C,0.5116076469421387
1000.0,36,10.0,RENT,70000.0,other,6.1,0.0,680.0,3.0,13.0,1.0,0.212,75.0,0.0,1.0,1.0,0,20.66803559206023,0.014285714285714285,0.17333333102222226,0.4374254042181388,612.5808776696741,C,
8400.0,36,10.0,MORTGAGE,74344.0,debt_consolidation,16.32,0.0,670.0,0.0,8.0,1.0,0.758,34.0,0.0,9.0,1.0,0,47.419575633128,0.11298827074141828,0.23529411072664383,0.2156151294417039,664.5702397992035,A,
5000.0,36,2.0,RENT,47000.0,debt_consolidation,27.99,0.0,670.0,1.0,13.0,1.0,0.6659999999999999,28.0,0.0,0.0,1.0,0,15.249828884325805,0.10638297872340426,0.46428569770408223,0.604190416256882,578.8521919760622,D,
16800.0,60,5.0,RENT,50000.0,debt_consolidation,6.87,0.0,675.0,0.0,3.0,0.0,0.41700000000000004,15.0,0.0,0.0,0.0,0,13.248459958932239,0.336,0.19999998666666757,0.6212996653281427,575.2465850120224,E,0.6448155641555786
5000.0,36,3.0,RENT,50000.0,debt_consolidation,6.87,0.0,665.0,0.0,11.0,0.0,0.6459999999999999,18.0,0.0,0.0,0.0,0,14.754277891854894,0.1,0.6111110771604957,0.397146059262224,620.8685412950435,B,
7550.0,36,0.0,MORTGAGE,32000.0,debt_consolidation,30.3,2.0,680.0,0.0,9.0,0.0,0.9279999999999999,24.0,0.0,4.0,0.0,1,27.082819986310746,0.2359375,0.37499998437500065,0.45602368330300086,608.818048259555,C,0.39273443818092346
10000.0,60,10.0,MORTGAGE,68000.0,home_improvement,5.03,0.0,750.0,1.0,7.0,0.0,0.127,21.0,0.0,2.0,0.0,1,23.50171115674196,0.14705882352941177,0.3333333174603182,0.44459388543390815,611.1269167819157,C,0.4228525459766388
6000.0,36,3.0,RENT,51000.0,credit_card,6.24,0.0,680.0,0.0,6.0,0.0,0.423,14.0,0.0,0.0,0.0,0,7.501711156741957,0.11764705882352941,0.42857139795918586,0.32102166527326176,637.4540302757556,A,
15000.0,36,-1.0,OWN,49000.0,debt_consolidation,39.92,0.0,695.0,0.0,11.0,0.0,0.684,18.0,0.0,0.0,0.0,0,15.668720054757015,0.30612244897959184,0.6111110771604957,0.5928350954292596,581.2150999636574,D,
24000.0,60,5.0,MORTGAGE,74000.0,debt_consolidation,29.79,3.0,675.0,1.0,12.0,0.0,0.653,30.0,0.0,1.0,0.0,0,16.999315537303218,0.32432432432432434,0.3999999866666671,0.7924708816295444,533.0057948334266,E,0.7906665205955505
24000.0,36,10.0,MORTGAGE,90000.0,debt_consolidation,10.71,0.0,670.0,1.0,9.0,0.0,0.81,16.0,0.0,5.0,0.0,1,12.752908966461328,0.26666666666666666,0.5624999648437522,0.3590295284759856,628.9789376233194,B,0.37864255905151367
7500.0,36,0.0,MORTGAGE,30000.0,credit_card,57.84,0.0,660.0,0.0,21.0,0.0,0.654,29.0,0.0,3.0,0.0,0,13.500342231348391,0.25,0.7241379060642101,0.589466217428601,581.912040524323,D,0.7230298519134521
25000.0,60,10.0,MORTGAGE,72000.0,debt_consolidation,20.17,0.0,725.0,1.0,13.0,0.0,0.63,37.0,0.0,4.0,0.0,1,33.41820670773443,0.3472222222222222,0.35135134185536915,0.591836746496507,581.4218197354351,D,0.511173665523529
12000.0,36,6.0,OWN,65000.0,debt_consolidation,18.94,0.0,660.0,1.0,8.0,1.0,0.565,12.0,0.0,0.0,1.0,1,9.248459958932239,0.18461538461538463,0.6666666111111158,0.5312312864706826,593.7456002266191,D,
15600.0,36,10.0,MORTGAGE,54000.0,debt_consolidation,26.87,1.0,700.0,0.0,13.0,0.0,0.313,22.0,0.0,2.0,0.0,0,23.668720054757017,0.28888888888888886,0.590909064049588,0.40940657414820064,618.320955341909,B,
16000.0,60,10.0,RENT,64000.0,debt_consolidation,29.56,0.0,730.0,0.0,5.0,0.0,0.9940000000000001,11.0,0.0,0.0,0.0,0,23.419575633127995,0.25,0.4545454132231443,0.7610128333177942,542.0879816562336,E,0.5506125688552856
10000.0,36,0.0,MORTGAGE,112000.0,home_improvement,4.48,2.0,675.0,1.0,8.0,0.0,0.19,36.0,0.0,6.0,0.0,0,14.168377823408624,0.08928571428571429,0.22222221604938291,0.23061050171784186,660.2433596678038,A,
11200.0,36,6.0,MORTGAGE,106000.0,debt_consolidation,26.13,0.0,705.0,1.0,15.0,1.0,0.59,24.0,0.0,5.0,1.0,0,11.3347022587269,0.10566037735849057,0.6249999739583344,0.39647382659783253,621.0089690576366,B,
16000.0,60,10.0,RENT,43970.0,debt_consolidation,27.24,0.0,755.0,1.0,15.0,0.0,0.2,32.0,0.0,4.0,0.0,0,27.000684462696782,0.3638844666818285,0.468749985351563,0.677253817439418,562.9410042089014,E,
6000.0,36,6.0,RENT,45760.0,credit_card,10.25,0.0,710.0,1.0,9.0,0.0,0.306,11.0,0.0,0.0,0.0,0,9.333333333333334,0.13111888111888112,0.8181817438016598,0.3917473564037391,621.9986597422792,B,
10000.0,36,-1.0,RENT,30000.0,debt_consolidation,19.04,0.0,660.0,2.0,15.0,0.0,0.38299999999999995,18.0,0.0,0.0,0.0,0,19.586584531143053,0.3333333333333333,0.8333332870370396,0.5981880893949236,580.1039429901599,D,
4000.0,36,10.0,MORTGAGE,42000.0,debt_consolidation,31.51,0.0,685.0,1.0,22.0,0.0,0.204,42.0,0.0,2.0,0.0,1,12.334017796030116,0.09523809523809523,0.5238095113378688,0.42852657960958457,614.3932604054372,C,0.5253357887268066
2400.0,36,7.0,RENT,30000.0,debt_consolidation,6.72,0.0,725.0,0.0,9.0,0.0,0.24100000000000002,24.0,0.0,0.0,0.0,1,14.587268993839835,0.08,0.37499998437500065,0.3182205294344822,638.0980808697327,A,
28000.0,36,1.0,MORTGAGE,43680.0,debt_consolidation,18.54,3.0,675.0,0.0,6.0,0.0,0.948,18.0,0.0,4.0,0.0,0,11.75359342915811,0.6410256410256411,0.3333333148148158,0.510124360091077,597.9748511739747,D,0.5070145726203918
19575.0,36,10.0,RENT,63000.0,debt_consolidation,24.65,0.0,660.0,0.0,7.0,1.0,0.6920000000000001,13.0,0.0,0.0,0.0,1,15.83025325119781,0.3107142857142857,0.5384614970414233,0.5955725740774684,580.6474525724784,D,
15950.0,60,-1.0,MORTGAGE,44650.0,debt_consolidation,18.36,0.0,670.0,1.0,15.0,1.0,0.159,39.0,0.0,4.0,1.0,1,16.501026694045173,0.3572228443449048,0.384615374753452,0.6117582112468916,577.2645593819509,E,
21000.0,36,7.0,MORTGAGE,78000.0,debt_consolidation,22.09,0.0,685.0,0.0,10.0,0.0,0.7929999999999999,20.0,0.0,1.0,0.0,0,17.248459958932237,0.2692307692307692,0.4999999750000012,0.42230330136599886,615.6662604302462,C,
30000.0,60,10.0,MORTGAGE,100000.0,debt_consolidation,25.99,1.0,665.0,0.0,17.0,0.0,0.68,44.0,0.0,2.0,0.0,0,29.66735112936345,0.3,0.38636362758264486,0.6744160554092433,563.5886554665087,E,
10000.0,36,10.0,RENT,80000.0,debt_consolidation,24.23,0.0,775.0,0.0,15.0,0.0,0.151,24.0,0.0,0.0,0.0,0,13.418206707734429,0.125,0.6249999739583344,0.4066456672212717,618.8924768285,B,0.24651077389717102
9600.0,36,10.0,MORTGAGE,81000.0,debt_consolidation,21.13,0.0,700.0,0.0,12.0,0.0,0.835,39.0,0.0,5.0,0.0,0,13.91649555099247,0.11851851851851852,0.3076922998027616,0.2931944065603612,643.99598807755,A,
21000.0,60,4.0,MORTGAGE,85000.0,debt_consolidation,22.11,0.0,745.0,0.0,15.0,0.0,0.535,30.0,0.0,2.0,0.0,0,16.0,0.24705882352941178,0.4999999833333339,0.5829651514213869,583.2521189026695,D,
14675.0,60,2.0,RENT,40800.0,debt_consolidation,27.74,0.0,660.0,0.0,5.0,1.0,0.507,9.0,0.0,0.0,0.0,0,9.166324435318275,0.3596813725490196,0.5555554938271674,0.7983237563884787,531.207471614303,E,0.8057299852371216
21600.0,60,10.0,MORTGAGE,69672.0,credit_card,11.24,0.0,670.0,0.0,12.0,0.0,0.674,23.0,0.0,3.0,0.0,0,28.999315537303218,0.3100241129865656,0.5217391077504736,0.5010810859303465,599.7837824769922,D,
9000.0,36,8.0,MORTGAGE,80000.0,credit_card,8.79,0.0,705.0,0.0,10.0,1.0,0.33799999999999997,18.0,0.0,2.0,1.0,0,13.831622176591376,0.1125,0.5555555246913597,0.23952763142362402,657.7635498160771,A,
14000.0,60,10.0,RENT,107000.0,debt_consolidation,3.63,0.0,680.0,0.0,6.0,0.0,0.649,13.0,0.0,0.0,0.0,0,23.000684462696782,0.1308411214953271,0.4615384260355057,0.5673747974478104,586.4425833185535,D,
10000.0,36,10.0,MORTGAGE,45000.0,debt_consolidation,13.97,0.0,740.0,0.0,9.0,0.0,0.466,21.0,0.0,2.0,0.0,0,17.585215605749486,0.2222222222222222,0.4285714081632663,0.2840069474375729,646.2335881559059,A,0.22925686836242676
13000.0,36,1.0,MORTGAGE,76000.0,debt_consolidation,17.39,0.0,710.0,1.0,9.0,0.0,0.174,17.0,0.0,3.0,0.0,0,14.754277891854894,0.17105263157894737,0.5294117335640156,0.3162687142834721,638.5486384701777,A,0.3108840584754944
9000.0,36,-1.0,MORTGAGE,62500.0,home_improvement,8.91,0.0,810.0,0.0,7.0,0.0,0.016,30.0,0.0,3.0,0.0,0,21.248459958932237,0.144,0.2333333255555558,0.17945441486989422,676.0024123606423,A,
25075.0,60,10.0,MORTGAGE,57000.0,debt_consolidation,22.34,0.0,665.0,0.0,8.0,0.0,0.765,10.0,0.0,1.0,0.0,1,12.668035592060233,0.43991228070175437,0.7999999200000081,0.7151826009951323,553.9655186793761,E,0.7416890263557434
23000.0,60,5.0,MORTGAGE,82000.0,debt_consolidation,21.04,1.0,685.0,0.0,20.0,0.0,0.26,62.0,0.0,3.0,0.0,1,21.831622176591377,0.2804878048780488,0.32258063995837677,0.5666762421751887,586.5848509010183,D,
6000.0,36,10.0,MORTGAGE,40000.0,debt_consolidation,5.1,0.0,700.0,1.0,8.0,1.0,0.46399999999999997,15.0,0.0,1.0,1.0,0,17.831622176591377,0.15,0.5333332977777802,0.33263333798200484,634.8149408423166,A,
8000.0,36,7.0,MORTGAGE,63000.0,debt_consolidation,26.99,0.0,670.0,0.0,15.0,0.0,0.754,24.0,0.0,1.0,0.0,0,10.335386721423683,0.12698412698412698,0.6249999739583344,0.4375864399241626,612.5481594021134,C,
30000.0,60,0.0,MORTGAGE,90000.0,debt_consolidation,21.69,0.0,740.0,0.0,10.0,0.0,0.41100000000000003,20.0,0.0,6.0,0.0,0,27.915126625598905,0.3333333333333333,0.4999999750000012,0.524991254739917,594.9975805062194,D,0.41030898690223694
18400.0,36,2.0,RENT,95000.0,debt_consolidation,11.43,0.0,745.0,0.0,7.0,0.0,0.292,25.0,0.0,0.0,0.0,0,25.248459958932237,0.1936842105263158,0.27999998880000043,0.3296539994186649,635.4875190030507,A,
5000.0,36,9.0,RENT,55000.0,debt_consolidation,23.17,1.0,710.0,1.0,8.0,0.0,0.318,13.0,0.0,2.0,0.0,1,11.249828884325805,0.09090909090909091,0.615384568047341,0.4890955998801462,602.1812258821333,C,0.5213223099708557
15000.0,60,10.0,RENT,65875.0,debt_consolidation,7.96,0.0,700.0,0.0,7.0,0.0,0.508,22.0,0.0,0.0,0.0,1,26.250513347022586,0.22770398481973433,0.3181818037190089,0.5932446316935562,581.1302548882285,D,0.49661028385162354
2000.0,36,0.0,OWN,64000.0,vacation,23.85,1.0,675.0,0.0,8.0,0.0,0.825,27.0,0.0,0.0,0.0,0,31.668720054757017,0.03125,0.2962962853223598,0.42943571723081736,614.2076889762483,C,
